request_id,department_id,request_date,fiscal_year,loggedTime
12991,2,3/25/2013,2013,3.9
12992,2,3/26/2013,2013,20.4
12993,4,3/26/2013,2013,6.6
12994,4,3/26/2013,2013,8.2
12995,4,3/27/2013,2013,5.4
12996,2,3/27/2013,2013,10.9
12997,4,3/28/2013,2013,19.3
12998,2,3/28/2013,2013,6.5
12999,2,3/28/2013,2013,3.9
13000,6,3/29/2013,2013,6.6
13001,4,3/29/2013,2013,12.6
13002,6,3/29/2013,2013,1.9
13003,4,3/30/2013,2013,3.8
13004,5,3/31/2013,2013,8.2
13005,4,3/31/2013,2013,28.6
13006,2,3/31/2013,2013,4.6
13007,4,4/1/2013,2013,8
13008,3,4/1/2013,2013,8.3
13009,2,4/2/2013,2013,1.4
13010,2,4/2/2013,2013,1.3
13011,2,4/3/2013,2013,34.2
13012,4,4/3/2013,2013,8.2
13013,6,4/3/2013,2013,3.3
13014,4,4/4/2013,2013,17.8
13015,4,4/4/2013,2013,17.4
13016,2,4/5/2013,2013,9.3
13017,2,4/5/2013,2013,8.2
13018,2,4/5/2013,2013,8.8
13019,6,4/6/2013,2013,23
13020,4,4/7/2013,2013,3.8
13021,4,4/7/2013,2013,20.7
13022,2,4/7/2013,2013,8.2
13023,2,4/8/2013,2013,9.3
13024,2,4/8/2013,2013,7
13025,4,4/9/2013,2013,8.2
13026,2,4/9/2013,2013,5.3
13027,2,4/10/2013,2013,8.2
13028,4,4/10/2013,2013,12.8
13029,3,4/11/2013,2013,5.2
13030,2,4/11/2013,2013,7.5
13031,6,4/12/2013,2013,4
13032,2,4/12/2013,2013,17.1
13033,6,4/13/2013,2013,8.9
13034,1,4/13/2013,2013,7.5
13035,1,4/14/2013,2013,5.1
13036,2,4/15/2013,2013,3.5
13037,4,4/15/2013,2013,13.9
13038,2,4/16/2013,2013,8.9
13039,1,4/16/2013,2013,13.2
13040,2,4/17/2013,2013,13.3
13041,4,4/18/2013,2013,14.1
13042,1,4/19/2013,2013,4.8
13043,4,4/20/2013,2013,8.2
13044,4,4/20/2013,2013,12.2
13045,4,4/20/2013,2013,26.1
13046,3,4/21/2013,2013,8.2
13047,6,4/21/2013,2013,9.1
13048,1,4/22/2013,2013,6
13049,1,4/22/2013,2013,10.4
13050,1,4/23/2013,2013,10.1
13051,2,4/23/2013,2013,2.4
13052,4,4/24/2013,2013,11.8
13053,1,4/25/2013,2013,2
13054,4,4/26/2013,2013,3.6
13055,2,4/26/2013,2013,8.2
13056,4,4/27/2013,2013,5.2
